Date,SP500
08/2013,61011.21875203181
09/2013,62924.42600636338
10/2013,65816.88832213698
11/2013,67822.58893309647
12/2013,69539.69349253656
01/2014,67135.28569121481
02/2014,70206.44265516757
03/2014,70796.42862386245
04/2014,71319.71870274396
05/2014,72994.03721966228
06/2014,74501.82574754975
07/2014,73474.33152051947
08/2014,76413.77458886598
09/2014,75342.23590629856
10/2014,77182.45520574004
11/2014,79258.20747455384
12/2014,79058.53927611889
01/2015,76685.17232917568
02/2015,81092.5541799237
03/2015,79810.0215817832
04/2015,80575.76590162146
05/2015,81611.85928425663
06/2015,80031.92174348929
07/2015,81708.75708643829
08/2015,76778.92409881898
09/2015,74879.13991665111
10/2015,81195.53431167954
11/2015,81436.93987512348
12/2015,80152.51965745998
01/2016,76175.09558695529
02/2016,76072.325190702
03/2016,81232.86723113482
04/2016,81547.88995597651
05/2016,83012.26323483455
06/2016,83227.45186045878
07/2016,86295.88226287828
08/2016,86417.10938335666
09/2016,86433.25901705361
10/2016,84856.67724432718
11/2016,87999.35401465211
12/2016,89738.69053736333
01/2017,91440.69414061928
02/2017,95071.63516089859
03/2017,95182.37550624907
04/2017,96159.95268367059
05/2017,97513.16614617304
06/2017,98121.81857459559
07/2017,100139.4741092009
08/2017,100446.10741394028
09/2017,102518.08444370804
10/2017,104910.32758588144
11/2017,108127.87993061949
12/2017,109330.08383128037
01/2018,115589.63990511566
02/2018,111329.49237716316
03/2018,108500.16044765944
04/2018,108916.48542023654
05/2018,111539.43761522348
06/2018,112225.90191509487
07/2018,116402.36497752684
08/2018,120195.22180578073
09/2018,120879.37901512402
10/2018,112617.26836286756
11/2018,114912.19423185421
12/2018,104536.78865582614
01/2019,112913.83436348423
02/2019,116539.32226069704
03/2019,118803.83648181279
04/2019,123614.12023297421
05/2019,115758.6867201772
06/2019,123916.97829866756
07/2019,125698.05218638775
08/2019,123706.82332510469
09/2019,126021.46433133176
10/2019,128750.96216161796
11/2019,133424.49836511177
12/2019,137451.62974972263
01/2020,137397.7277255653
02/2020,126087.32127913486
03/2020,110513.83100771617
04/2020,124681.04473448535
05/2020,130619.28601840221
06/2020,133217.06995308216
07/2020,140728.53724168453
08/2020,150844.08053004357
09/2020,145112.4287161461
10/2020,141253.50520458652
11/2020,156715.62592414705
12/2020,162741.11717712792
01/2021,161098.0492500907
02/2021,165540.24719426333
03/2021,172790.17431117618
04/2021,182011.8248876342
05/2021,183283.03176863657
06/2021,187561.8457563167
07/2021,192017.2570371504
08/2021,197855.66422184982
09/2021,188653.51904712967
10/2021,201870.84068281492
11/2021,200472.11461625743
12/2021,209456.55433932267
01/2022,198617.8430381446
02/2022,192670.79286312035
03/2022,199824.6611198617
04/2022,182399.62583186344
05/2022,182734.153958443
06/2022,167650.60582099913
07/2022,183108.74156601107
08/2022,175641.3187329459
09/2022,159464.83889167372
10/2022,172375.317487117
11/2022,182008.46911959327
12/2022,171522.11346271218
01/2023,182299.58199714337
02/2023,177851.5114588992
03/2023,184381.2068600288
04/2023,187259.1974261259
05/2023,188073.18091155245
06/2023,200500.21917360017
07/2023,206941.1964571479
08/2023,203646.4614474686
09/2023,193936.9660920613
10/2023,189859.07871583148
11/2023,207198.1224477811
12/2023,216611.26153807432
